No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
135	Aluminium	Door & Window Accessories	Folding Door 89AG(R) Bottom Guide	1	PCS	28.00	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
136	Aluminium	Door & Window Accessories	Folding Door 89B(L) Bottom Guide	1	PCS	28.00	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
137	Aluminium	Door & Window Accessories	Folding Door 89B(R) Bottom Guide	1	PCS	28.00	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
138	Aluminium	Door & Window Accessories	Folding Door 89BG(L) (Black) Bottom Guide	1	PCS	28.00	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
139	Aluminium	Door & Window Accessories	Folding Door 89BG(L) Bottom Guide	1	PCS	28.00	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
140	Aluminium	Door & Window Accessories	Folding Door 89BG(L)(Black) Bottom Guide	1	PCS	28	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
141	Aluminium	Door & Window Accessories	Folding Door 89BG(R) (Black) Bottom Guide	1	PCS	28	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
142	Aluminium	Door & Window Accessories	Folding Door 89BG(R) Bottom Guide	1	PCS	28	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
143	Aluminium	Door & Window Accessories	Folding Door 89BG(R)(Black) Bottom Guide	1	PCS	28	28	2024-10-13	YIT LOONG BUILDING MATERIALS SDN BHD	
144	Aluminium	Door & Window Accessories	Folding Door 89C(L) Bottom Guide	1	PCS	28	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
145	Aluminium	Door & Window Accessories	Folding Door 89C(R) Bottom Guide	1	PCS	28.00	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
146	Aluminium	Door & Window Accessories	Folding Door 89CG(L) Bottom Guide	1	PCS	28	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
147	Aluminium	Door & Window Accessories	Folding Door 89CG(R) Bottom Guide	1	PCS	28	28	2024-08-28	YIT LOONG BUILDING MATERIALS SDN BHD	
148	Aluminium	Door & Window Accessories	Folding Door 89D(L) Bottom Guide	1	PCS	28	28	2022-12-13	YIT LOONG BUILDING MATERIALS SDN BHD	
